product_name,ingredients_text,serving_size,review,disease_conditions
"Haviland, Dark Chocolate Covered Thin Mints","Sugar, bittersweet chocolate [chocolate liquor, sugar, cocoa butter, butter oil, soy lecithin], corn syrup, peppermint oil, soy protein, invertase.",42 g (42 g),"This product contains a mix of ingredients that are both beneficial and detrimental to health. The bittersweet chocolate provides some antioxidants and flavonoids, which can help lower blood pressure and improve heart health. However, the high sugar content is a major concern, as excessive consumption can lead to weight gain, insulin resistance, and an increased risk of chronic diseases like diabetes and heart disease. Additionally, the corn syrup and soy lecithin may contribute to inflammation and oxidative stress. The peppermint oil has some potential benefits for digestion and mental clarity, but its effects are largely anecdotal.","Diabetes, Heart Disease"
Diced Tomatoes,"Tomatoes, tomato juice, salt, calcium chloride, citric acid.",121 g (0.5 cup),"This product is a high-sodium tomato-based condiment that may pose health risks for certain individuals. Tomatoes are rich in lycopene, an antioxidant with potential anti-inflammatory benefits. However, the addition of salt and calcium chloride increases the sodium content, which can be problematic for those with hypertension or heart disease. Citric acid may also exacerbate digestive issues in individuals with stomach ulcers or acid reflux. People with diabetes should be cautious due to the high sugar content from the tomatoes. Additionally, this product is not suitable for those with a salt restriction diet.","Hypertension, Heart Disease, Diabetes, Obesity"
Premium Chunk White Chicken In Water,"White chicken meat, water, modified corn starch, salt, sodium phosphates.",56 g (2 oz),"This product is a processed chicken meat product that contains added preservatives and sodium. The high sodium content may be a concern for individuals with hypertension or heart disease. The modified corn starch adds empty calories and can contribute to weight gain if consumed excessively. However, the protein content from white chicken meat is beneficial for muscle growth and maintenance.","hypertension, heart disease"
"Fruit Cocktail, In Light Syrup","Diced peaches, diced pears, water, grapes, corn syrup, pineapple segments, halved cherries artificially colored red with carmine and sugar.",126 g (0.5 cup),"This fruit mix contains a combination of natural fruits such as peaches, pears, grapes, and pineapple, which are rich in essential vitamins, minerals, and antioxidants. However, the presence of corn syrup and artificial coloring carmine raises concerns about added sugars and potential health risks. The high sugar content may be detrimental to individuals with diabetes or those at risk of developing it. Additionally, the artificially colored cherries may pose a risk for people with allergies or sensitivities.","diabetes, allergies"
Mustard,"Distilled vinegar, no. 1 mustard seed, salt, turmeric and spice.",5 g (1 tsp),"This blend of ingredients appears to be a traditional Indian-inspired spice mix. Distilled vinegar adds a tangy flavor, while the mustard seeds provide a pungent taste. Turmeric contributes its signature yellow color and potential health benefits. However, there are some concerns. The high salt content in this serving size may be problematic for individuals with hypertension or heart disease. Additionally, people with allergies to mustard or turmeric should exercise caution. For those with diabetes, the vinegar's acidity might affect blood sugar control. Overall, moderation is key when consuming this blend.","hypertension, heart disease, diabetes"
"Potato Chips, Original","Potatoes, sunflower oil and/or corn oil, salt",28 g (28 g),"This food is a simple preparation of potatoes cooked in oil with added salt. Potatoes are a good source of complex carbohydrates, fiber, and several essential vitamins and minerals. However, the addition of sunflower or corn oil increases the calorie content and may pose health risks due to high levels of omega-6 fatty acids. Excessive consumption can lead to inflammation and potentially contribute to chronic diseases such as heart disease and obesity. The serving size is relatively small, but frequent consumption could still have negative effects on overall health.","heart disease, obesity"
"Hot Sauce, Louisiana Style","Aged red cayenne peppers, distilled vinegar, salt, xanthan gum.",5 ml (1 tsp),,
Pearl Onion Stuffed Olives,"Olives, water, onion, salt, lactic acid, sodium bisulfite (added to stabilize color).",16 g (2 OLIVES),,
"Medium Salsa, Peach And Pineapple","Tomato puree (water, tomato paste), tomatoes, peaches, jalapeno peppers, pineapple, sugar, vinegar, dehydrated onion, salt, dehydrated cilantro, natural flavor.",31 g (2 Tbsp),,
"Peanuts, Party","Peanuts roasted in peanut and/or cottonseed and/or sunflower seed and/or canola oil, salt.",28 g (1 oz),"This product is a mix of healthy fats from peanuts and other seeds, but it's high in sodium. The roasting process may also lead to the formation of advanced glycation end-products (AGEs), which can accumulate in the body and contribute to oxidative stress and inflammation. Peanuts are also a common allergen, so individuals with peanut allergies should avoid this product.","Diabetes: High sodium content may exacerbate blood pressure issues., Heart Disease: High sodium content may increase risk of cardiovascular disease., Obesity: While peanuts can be part of a healthy diet, excessive consumption can lead to weight gain and obesity., Hypertension: Excessive sodium intake can worsen high blood pressure., Allergies: Peanuts are a common allergen and individuals with peanut allergies should avoid this product."
Brown Basmati Indian Rice,Basmati long grain brown rice.,42 g (0.25 cup),"Basmati long grain brown rice is a nutrient-rich food that provides sustained energy due to its high fiber and complex carbohydrate content. It contains essential minerals like manganese, selenium, and magnesium. Brown rice also has a lower glycemic index compared to white rice, making it suitable for people with diabetes or those who want to manage their blood sugar levels.","Diabetes: Low glycemic index reduces risk of blood sugar spikes., Heart disease: High fiber content may help reduce cholesterol levels and improve cardiovascular health."
Mozzarella Cheese,"Pasteurized part-skim milk, cheese cultures, salt, and enzymes.",28 g (1 oz),"This product is a processed dairy item that contains pasteurized part-skim milk, which has been stripped of some of its natural nutrients. The addition of cheese cultures and enzymes may provide some probiotic benefits, but the overall nutritional value is limited.","Diabetes: High in saturated fat and calories, Heart Disease: High in saturated fat and sodium, Obesity: High in calories and low in essential nutrients, Hypertension: High in sodium"
Linguine,"Semolina wheat flour, niacin, iron (ferrous sulfate), thiamine mononitrte, riboflavin, folic acid.",56 g (2 ONZ),"This product contains a refined carbohydrate source in the form of semolina wheat flour. While it is enriched with several B vitamins and iron, excessive consumption can lead to a rapid spike in blood sugar levels and insulin resistance. Semolina has a high glycemic index, which may not be suitable for individuals with diabetes or those at risk of developing it.","Diabetes, Hypertension"
Celery Salt,"Salt, ground celery seed, and tricalcium phosphate.",1 g (0.25 tsp),"This food ingredient combination is relatively low in nutritional value but high in sodium content due to the presence of salt. The serving size of 1g or 0.25 tsp may seem small, but it still contributes a significant amount of sodium to the diet.","Hypertension, Heart Disease"
Chili Powder,"Chili pepper, garlic, oregano, cumin, salt, and silicon dioxide.",0.7 g (0.25 tsp),"This blend of spices appears to be a healthy combination with potential benefits for digestive health due to the presence of chili pepper and oregano. Chili peppers contain capsaicin, which may help reduce inflammation and improve circulation. Oregano has antimicrobial properties that can aid in digestion.","Diabetes: High sodium content (salt) may be a concern for individuals with diabetes who need to monitor their salt intake., Hypertension: Excessive consumption of salt can increase blood pressure, posing a risk for those with hypertension."
Poultry Seasoning,"Salt, sage, thyme, oregano, ground mustard, basil, red pepper, and black pepper.",1.5 g (0.75 tsp),"This blend of herbs is generally considered healthy due to their antioxidant properties and potential anti-inflammatory effects. Sage may help improve cognitive function and memory, while thyme has antimicrobial properties that can aid in digestion. However, this serving size contains 6.3mg of sodium, which is approximately 0.4% of the daily recommended intake.","Diabetes: No significant risk, Heart disease: No significant risk, Obesity: No significant risk, Hypertension: Low risk due to moderate sodium content, Allergies: Sage and thyme may cause allergic reactions in rare cases"
Bacon Bits,"Textured soy flour, partially hydrogenated vegetable oil (soybean), salt, natural & artificial flavors, dextrose, fd&c red #3 and 40.",7 g (1 Tbsp),"This product contains a mix of unhealthy ingredients that pose potential health threats. The partially hydrogenated vegetable oil is a source of trans fats, which increase the risk of heart disease and stroke. Textured soy flour may be high in phytates, which can inhibit mineral absorption. Dextrose is a simple sugar that can cause a spike in blood sugar levels, making it unsuitable for individuals with diabetes. Additionally, FD&C Red #3 and 40 are artificial colors linked to hyperactivity and potential cancer risks. This product also contains natural & artificial flavors, which may be detrimental to overall health.","diabetes, heart disease, obesity"
100% White Grape Juice,"Filtered water, grape juice, grape juice concentrate, citric acid, ascorbic acid (vitamin c), potassium metabisulfite (preservative).",240 ml (8 fl oz),,
Bean Sprouts In Water,"Bean sprouts, water, citric acid.",130 g (0.5 cup),"This food is a nutrient-rich and low-calorie option. Bean sprouts are an excellent source of protein, fiber, and various vitamins and minerals. They contain antioxidants that can help protect against cell damage and inflammation. However, they also contain phytates, which may inhibit the absorption of certain minerals like iron and zinc. Citric acid is a natural preservative that adds flavor but has no nutritional value.","Diabetes: High fiber content may cause digestive issues in people with diabetes., Hypertension: Excessive consumption of citric acid may lead to increased urine production, potentially exacerbating hypertension."
Whole Fancy Water Chestnuts,"Water chestnuts, water, citric acid",110 g (0.5 cup),,
"World Classics Trading Company, Whole Baby Corn In Water","Young baby corn, water, salt, ascorbic acid, citric acid.",100 g (5 PIECES),"This product is a relatively healthy option. Young baby corn is a good source of fiber, vitamins C and K, and minerals like potassium and manganese. The addition of ascorbic acid and citric acid serves as natural preservatives, replacing artificial additives. However, the presence of salt may be a concern for those with high blood pressure or cardiovascular disease.","Diabetes, Hypertension"
Marinated Mushrooms With Old World Italian Style Seasonings,"Mushrooms, water distilled vinegar, soybean oil, salt, garlic, parsley, oregano, mustard powder.",30 g (2 Tbsp),,
Marinated Mushrooms Portabellas With Red Peppers,"Portabella mushrooms, roasted red peppers (peppers, water, vinegar, sugar, salt), water, vinegar, soybean oil, garlic, slat, oregano and marjoram.",30 g (2 Tbsp),,
Garlic & Herb Italian Style Seasonings,"Mushrooms, water, distilled vinegar, sweet red peppers (peppers, water, vinegar, citric acid, salt, sugar, calcium chloride) garlic, salt, oregano, marjoram.",30 g (2 Tbsp),"This mixture of ingredients appears to be a homemade or store-bought salad dressing. The presence of sweet red peppers and citric acid suggests a sweeter and tangier flavor profile. Mushrooms add an earthy taste, while garlic contributes a pungent flavor. Oregano and marjoram provide herbal notes. Overall, this mixture seems to be relatively healthy, with the exception of added sugar in the sweet red peppers.","Diabetes risk: High sugar content may exacerbate blood sugar control., Hypertension risk: Excessive sodium from salt and citric acid may increase blood pressure for individuals with hypertension., Allergy risk: Individuals with mushroom or oregano allergies should avoid this mixture."
Authentic Worcestershire Sauce,"Distilled vinegar, sugar, water, molasses, salt, caramel color, spices, natural flavor, garlic powder, polysorbate 60, anchovies, tamarind.",5 ml (1 tsp),"This condiment contains a mix of ingredients that can be both beneficial and detrimental to health. The presence of distilled vinegar may help in digestion and reduce blood pressure due to its acetic acid content. However, the high sugar content from molasses and caramel color may increase calorie intake and contribute to weight gain, obesity, and diabetes risk. The anchovies add a significant amount of sodium, which can be problematic for individuals with hypertension or heart disease. Additionally, polysorbate 60 is an emulsifier that has been linked to potential health risks, including allergic reactions and digestive issues in some people.","diabetes, obesity, hypertension, heart disease"
Original Cream Cheese,"Pasteurized cultured milk and cream, salt, stabilizers (xanthan, locust bean, and guar gums).",28 g (2 Tbsp),"This product is a processed dairy item that contains both pasteurized cultured milk and cream. The addition of stabilizers such as xanthan, locust bean, and guar gums may be beneficial for texture and shelf life but could also contribute to potential health issues in some individuals. The high fat content from the cream may pose risks for those with heart disease or obesity.","heart disease, obesity"
Dijon Mustard,"Distilled vinegar, mustard seed, water, salt, white wine, citric acid, tartaric acid, turmeric, spices.",5 g (1 tsp),,
Deli Style Mustard With Horseradish,"Distilled vinegar, water, mustard seed, salt, dehydrated horseradish, spices.",5 g (1 tsp),"This condiment is a relatively healthy option. The main ingredients are distilled vinegar and spices, which provide some acidity and flavor without adding excessive calories or sugar. However, the presence of salt may be a concern for those with high blood pressure or cardiovascular disease. Additionally, individuals with allergies should note that this product contains mustard seed, which can cause allergic reactions in some people.","hypertension, cardiovascular disease, allergies"
Honey Mustard,"Distilled vinegar, water, mustard seed, high fructose corn syrup, honey, mustard flour, salt, sugar, artificial flavoring, turmeric, dehydrated garlic, spice.",5 g (1 tsp),"This condiment blend contains a mix of healthy and unhealthy ingredients. The presence of high fructose corn syrup is a concern as it can lead to increased sugar intake and contribute to conditions like obesity, diabetes, and heart disease. Additionally, the artificial flavoring may be detrimental to overall health due to its potential impact on gut bacteria and metabolism. On the other hand, turmeric contains curcumin, which has anti-inflammatory properties that can help alleviate symptoms of arthritis and other inflammatory diseases. The dehydrated garlic also offers some benefits in terms of cardiovascular health.","diabetes, heart disease, obesity"
"World Classics Trading Company, Italian Style White Clam Sauce","Clams and clam juice soybean oil, garlic, modified corn starch, parsley, olive oil, salt, yeast extract, and natural flavors.",120 ml (0.5 cup),"This product appears to be a processed seafood sauce with a mix of healthy and unhealthy ingredients. The presence of soybean oil is a concern due to its high omega-6 fatty acid content, which can promote inflammation when consumed in excess. Additionally, the use of modified corn starch as a thickener may contribute to an increased glycemic index. However, the inclusion of olive oil, garlic, and parsley suggests some potential health benefits.","diabetes, heart disease"
"World Classics Trading Company, Sparkling Soda, Lemonade","Carbonated water, sugar, natural flavor (including lemon juice) citric acid, arabic gum, glycerol ester of wood rosin.",240 ml (8 fl oz),"This beverage is a sugary drink that contains 37 grams of sugar per serving. The high sugar content can lead to an increased risk of obesity, diabetes, and tooth decay. Carbonated water may also cause bloating and discomfort in some individuals. Additionally, the natural flavorings and citric acid may trigger allergic reactions or interact with certain medications. People with heart disease or hypertension should be cautious due to the high sodium content from the citric acid and arabic gum.","obesity, diabetes"
Panko Japanese - Style Bread Crumbs,"Bleached wheat flour, sugar, salt, yeast.",28 g (0.5 cup),"This product contains refined carbohydrates from bleached wheat flour and added sugars, which can cause a spike in blood glucose levels. The high sodium content may be problematic for individuals with hypertension or heart disease. Consuming such products regularly can lead to insulin resistance, contributing to the development of type 2 diabetes. Additionally, frequent consumption of refined grains has been linked to an increased risk of obesity and certain cardiovascular diseases.","Diabetes, Heart Disease, Obesity"
Puffed Wheat Cereal,"Durum wheat, iron (ferric orthophosphate), niacinamide, vitamin b1 (thiamine mononitrate), vitamin b6 (pyridoxine hydrochloride), vitamin b2 (riboflavin).",17 g (1 cup),"This food ingredient is a fortified durum wheat product. The addition of iron, niacinamide, thiamine mononitrate, pyridoxine hydrochloride, and riboflavin can help alleviate deficiencies in these essential nutrients. However, the high glycemic index of durum wheat may cause a spike in blood sugar levels for individuals with diabetes or those who are insulin resistant.","Diabetes, Heart disease"
Puffed Rice Cereal,"Rice, iron (ferric orthophosphate), niacinamide, vitamin b1 (thiamine mononitrate), vitamin b2 (riboflavin).",17 g (1 cup),,
Mixed Vagatables,"Water, carrots, potatoes, celery, sweet peas, green beans, corn, lima beans, salt, calcium chloride (to maintain firmness), onion flavoring.",125 g (0.5 cup),"This vegetable medley is a nutrient-rich and relatively low-calorie food option. The carrots provide vitamin A, while the potatoes offer potassium and fiber. Celery and green beans are good sources of vitamin K and folate. Sweet peas and corn contain protein and fiber. However, the addition of salt and calcium chloride may be detrimental to those with high blood pressure or kidney issues. Additionally, individuals with diabetes should monitor their carbohydrate intake from the starchy vegetables like potatoes and corn.","diabetes, hypertension"
Chicken Broth,"Chicken stock (water, concentrated chicken stock), contains less than 2% of: salt, yeast extract, cane sugar, carrot powder.",240 ml (1 cup),"This chicken stock is a relatively healthy option. It's low in calories and rich in electrolytes from the chicken stock. However, it contains some potential health threats such as high sodium content due to salt addition. The cane sugar also adds empty calories. Carrot powder provides some fiber and antioxidants but in limited amounts.","High sodium may exacerbate hypertension., Cane sugar may worsen diabetes management., For individuals with obesity, the calorie contribution from this stock should be considered within daily limits."
Apple Sauce,"Apples, corn syrup, high fructose corn syrup, water, ascorbic acid (to maintain color).",113 g (1 BOWL),,
Sweetened Condensed Filled Milk,"Nonfat milk, sugar, palm oil, vitamin a palmitate, riboflavin.",39 g (2 Tbsp),,
