product_name,ingredients_text,serving_size
Pearl Onion Stuffed Olives,"Olives, water, onion, salt, lactic acid, sodium bisulfite (added to stabilize color).",16 g (2 OLIVES)
"Medium Salsa, Peach And Pineapple","Tomato puree (water, tomato paste), tomatoes, peaches, jalapeno peppers, pineapple, sugar, vinegar, dehydrated onion, salt, dehydrated cilantro, natural flavor.",31 g (2 Tbsp)
"Peanuts, Party","Peanuts roasted in peanut and/or cottonseed and/or sunflower seed and/or canola oil, salt.",28 g (1 oz)
Brown Basmati Indian Rice,Basmati long grain brown rice.,42 g (0.25 cup)
Mozzarella Cheese,"Pasteurized part-skim milk, cheese cultures, salt, and enzymes.",28 g (1 oz)
Linguine,"Semolina wheat flour, niacin, iron (ferrous sulfate), thiamine mononitrte, riboflavin, folic acid.",56 g (2 ONZ)
Celery Salt,"Salt, ground celery seed, and tricalcium phosphate.",1 g (0.25 tsp)
Chili Powder,"Chili pepper, garlic, oregano, cumin, salt, and silicon dioxide.",0.7 g (0.25 tsp)
Poultry Seasoning,"Salt, sage, thyme, oregano, ground mustard, basil, red pepper, and black pepper.",1.5 g (0.75 tsp)
Bacon Bits,"Textured soy flour, partially hydrogenated vegetable oil (soybean), salt, natural & artificial flavors, dextrose, fd&c red #3 and 40.",7 g (1 Tbsp)
100% White Grape Juice,"Filtered water, grape juice, grape juice concentrate, citric acid, ascorbic acid (vitamin c), potassium metabisulfite (preservative).",240 ml (8 fl oz)
Bean Sprouts In Water,"Bean sprouts, water, citric acid.",130 g (0.5 cup)
Whole Fancy Water Chestnuts,"Water chestnuts, water, citric acid",110 g (0.5 cup)
"World Classics Trading Company, Whole Baby Corn In Water","Young baby corn, water, salt, ascorbic acid, citric acid.",100 g (5 PIECES)
Marinated Mushrooms With Old World Italian Style Seasonings,"Mushrooms, water distilled vinegar, soybean oil, salt, garlic, parsley, oregano, mustard powder.",30 g (2 Tbsp)
Marinated Mushrooms Portabellas With Red Peppers,"Portabella mushrooms, roasted red peppers (peppers, water, vinegar, sugar, salt), water, vinegar, soybean oil, garlic, slat, oregano and marjoram.",30 g (2 Tbsp)
Garlic & Herb Italian Style Seasonings,"Mushrooms, water, distilled vinegar, sweet red peppers (peppers, water, vinegar, citric acid, salt, sugar, calcium chloride) garlic, salt, oregano, marjoram.",30 g (2 Tbsp)
Authentic Worcestershire Sauce,"Distilled vinegar, sugar, water, molasses, salt, caramel color, spices, natural flavor, garlic powder, polysorbate 60, anchovies, tamarind.",5 ml (1 tsp)
Original Cream Cheese,"Pasteurized cultured milk and cream, salt, stabilizers (xanthan, locust bean, and guar gums).",28 g (2 Tbsp)
Dijon Mustard,"Distilled vinegar, mustard seed, water, salt, white wine, citric acid, tartaric acid, turmeric, spices.",5 g (1 tsp)
Deli Style Mustard With Horseradish,"Distilled vinegar, water, mustard seed, salt, dehydrated horseradish, spices.",5 g (1 tsp)
Honey Mustard,"Distilled vinegar, water, mustard seed, high fructose corn syrup, honey, mustard flour, salt, sugar, artificial flavoring, turmeric, dehydrated garlic, spice.",5 g (1 tsp)
"World Classics Trading Company, Italian Style White Clam Sauce","Clams and clam juice soybean oil, garlic, modified corn starch, parsley, olive oil, salt, yeast extract, and natural flavors.",120 ml (0.5 cup)
"World Classics Trading Company, Sparkling Soda, Lemonade","Carbonated water, sugar, natural flavor (including lemon juice) citric acid, arabic gum, glycerol ester of wood rosin.",240 ml (8 fl oz)
Panko Japanese - Style Bread Crumbs,"Bleached wheat flour, sugar, salt, yeast.",28 g (0.5 cup)
Puffed Wheat Cereal,"Durum wheat, iron (ferric orthophosphate), niacinamide, vitamin b1 (thiamine mononitrate), vitamin b6 (pyridoxine hydrochloride), vitamin b2 (riboflavin).",17 g (1 cup)
Puffed Rice Cereal,"Rice, iron (ferric orthophosphate), niacinamide, vitamin b1 (thiamine mononitrate), vitamin b2 (riboflavin).",17 g (1 cup)
Mixed Vagatables,"Water, carrots, potatoes, celery, sweet peas, green beans, corn, lima beans, salt, calcium chloride (to maintain firmness), onion flavoring.",125 g (0.5 cup)
Chicken Broth,"Chicken stock (water, concentrated chicken stock), contains less than 2% of: salt, yeast extract, cane sugar, carrot powder.",240 ml (1 cup)
Apple Sauce,"Apples, corn syrup, high fructose corn syrup, water, ascorbic acid (to maintain color).",113 g (1 BOWL)
Sweetened Condensed Filled Milk,"Nonfat milk, sugar, palm oil, vitamin a palmitate, riboflavin.",39 g (2 Tbsp)
Vegetable Oil Cooking Spray,"Soybean oil*, soy lecithin, dimethyl silicone(for anti-foaming), also contains propellant to dispense spray. *adds a trivial amount of fat.","0.25 g (0.25 SEC, SPRAY)"
"Pasta Sauce, Marinara","Ground tomatoes in puree, imported olive oil, fresh onions, salt, garlic, basil, spices.",120 g (0.5 cup)
Tomato Basil Pasta Sauce,"Tomato puree (water, tomato paste), diced tomatoes in juice, imported olive oil, fresh onions, basil, sugar, salt, dehydrated garlic, spices.",121 g (0.5 cup)
"Pasta Sauce, Traditional","Water, tomato past, salt, modified food starch, sugar, soybean oil, dried onion, citric acid, dried garlic, spices, dried parsley.",126 g (0.5 cup)
Meat Flavor Pasta Sauce,"Water, tomato paste, salt, modified food starch, sugar, beef, soybean oil, dried onion, citric acid, dried garlic, spice, dried parsley.",126 g (0.5 cup)
Mushroom Pasta Sauce,"Water, tomato paste, mushrooms, salt, modified food starch, sugar, soybean oil, dried onion, citric acid, dried garlic, spices, dried parsley.",126 g (0.5 cup)
Decorating Sanding Sugar,"Sugar, fd&c yellow #6, carnauba wax, confectioner's glaze.",4 g (1 tsp)
Decorating Bee Yellow Sanding Sugar,"Sugar, carnauba wax, confectioner's glaze and fd&c yellow #5.",4 g (1 tsp)
Freshly Frozen Mixed Vegetables,"Carrots, corn, green beans, peas.",90 g (0.666 cup)
Drink,"Water, high fructose corn syrup, citric acid, sodium benzoate (preservative), potassium sorbate (preservative), artificial flavor, sodium saccharin, fd&c blue no.1.",240 ml (1 cup)
"Decorating Sanding Sugar, Really Orange","Sugar, yellow 6, carnauba wax, confectioner's glaze.",4 g (1 tsp)
Rich Brown Sanding Sugar,"Sugar, rd 40, yellow 6, blue 2, carnauba wax, confectioner's glaze.",4 g (1 tsp)
"Boulder Burger Company, Angus Beef Patties, Vidalia Onion","Angus beef, vidalia onion, encapsulated salt (salt, partially hydrogenated soybean oil), seasoning (potassium chloride, maltodextrin, natural flavors), spice, natural flavor.",151 g (5.3 oz)
"Party Peanuts, Salted & Roasted","Peanuts, roasted in peanut, and/or cottonseed, and/or sunflower seed, and/or canola oil, salt.",28 g (1 oz)
Salted & Roasted Cashew Pieces,"Cashews, roasted in peanut, and/or cottonseed, and/or sunflower seed, and/or canola oil, salt.",28 g (1 oz)
Burgers,"White turkey, sea salt, natural flavor, black pepper.",151 g (1 BURGER)
Corned Beef With Juices,"Cooked beef, beef, water, salt, sugar, sodium nitrite.",56 g (0.25 cup)
"Cape Covelle Seafood Market, Raw Shrimp","Shrimp, salt, sodium tripolyphosphate (to retain moisture).",112 g (7 RAW SHRIMP | ABOUT)
Pollock Fillets,"Pollock, sodium tripolyphosphate (to retain moisture)",112 g (4 ONZ)
Salmon Fillets,Pink salmon sodium tripoly phosphate (to retain moisture).,112 g (4 ONZ)
Cod Fillets,"Cod, sodium tripolyphosphate (to retain moisture).",112 g (4 ONZ)
Swai Fillets,"Swai, sodium tripolyphosphate (to retain moisture).",112 g (4 ONZ)
Decorating Glam Green Sanding Sugar,"Sugar, carnauba wax, confectioner's glaze, yellow #5, blue #1.",4 g (1 tsp)
Wispy White Decorating Sanding Sugar,"Pure cane confectioner's sanding sugar, carnauba wax, confectioner's glaze.",4 g (1 tsp)
Frost Blue Sanding Sugar Decorating,"Sugar, carnauba wax, confectioner's glaze and fd&c blue #2.",4 g (1 tsp)
"Sixlets Candy Coated Chocolate, Totaly Orange","Sugar, corn starch, confectioner's glaze, yellow 5, red 3, blue 1, carnauba wax, red 40, yellow 6, blue 2.",4 g (1 tsp)
Plain Greek Nonfat Yogurt,"Cultured pasteurized skim milk. contains live and active cultures including s. thermophilus, l. bulgaricus, l. acidophilus, bifidus, and l. casei.",150 g (1 CONTAINER)
Greek Nonfat Yogurt,"Cultured pasteurized skim milk, sugar, honey, pectin, locust bean gum, calcium chloride.",150 g (1 CONTAINER)
Greek Nonfat Yogurt,"Cultured pasteurized skim milk, sugar, raspberries, pectin, locust bean gum, vegetable juice for color, natural flavor and citric acid.",150 g (1 CONTAINER)
Mustard,"Vinegar, water, mustard seed, salt, turmeric. paprika.",5 g (1 tsp)
Really Orange Non-Pareils Decorating,"Sugar, corn starch, confectioners glaze, yellow 5, red 3, carnauba wax.",4 g (1 tsp)
Let It Snow Decorating Non-Pareils,"Sugar, corn starch, confectioners glaze, yellow 5, red 3, blue 1, carnauba wax, red 40), yellow 6, blue 2.",4 g (1 tsp)
Really Black Sanding Sugar,"Sugar, confectioner's glaze carnauba wax, blue 1, red 3, yellow 5, red 40, may contain (yellow 6, blue 2).",4 g (1 tsp)
Nonfat Greek Yogurt,"Cultured pasteurized skim milk, sugar, pectin, natural flavor, locust bean gum, coconut oil, calcium phosphate.",150 g (1 CONTAINER)
American Wild Shrimp,"Wild caught american shrimp, water, sodium phosphates, citric acid, and salt.",112 g (4 ONZ)
"Iced Tea Mix, Lemon","Sugar, citric acid, instant tea, caramel color, natural lemon flavor with other natural flavors, artificial color (red 40).",18 g (1.33 Tbsp)
Cashew Pieces,"Cashwes, peanut and/or cottonseed and/or sunflower seed and/or canola oil, salt.",28 g (1 ONZ)
"Decorating Jimmies, Royal Purple","Sugar, cornstarch, hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's glaze, fd&c red #3 and fd&c blue #1 lake.",4 g (1 tsp)
Decorating Really Black Jimmies,"Sugar, cornstarch, haydrogenated palm kernel oil, cocoa powder, soya lecithin,, gum arabic. confectioner's glaze.",4 g (1 tsp)
"Decorating Jimmies, Ocean Blue","Sugar, cornstarch, hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's glaze, fd&c blue #1 lake.",4 g (1 tsp)
Decorating Really Orange Jimmies,"Sugar, cornstarch, hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's, glaze, yellow #5 lake, yellow #6 lake.",4 g (1 tsp)
Decorating Bee Yellow Jimmies,"Sugar, cornstarch, hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's glaze, fd&c yellow #5 and fd&c yellow #5 lake.",4 g (1 tsp)
Decorating Rosy Red Jimmies,"Sugar, cornstarch hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's glaze, fd&c red #40 lake.",4 g (1 tsp)
Stewed Tomatoes,"Tomatoes, tomato juice, sugar, salt, dried onion, dried celery, dried bell peppers, spices, calcium chloride, citric acid, natural flavors.",121 g (0.5 cup)
Apple Juice,"Concentrated apple juice, water, ascorbic acid (vitamin c), malic acid (for tartness).",60 ml (8 FL OZ OF FINISHED PREPARED PRODUCT. | MAKES)
Bartlett Pear Halves In Light Syrup,"Pears, water, high fructose corn syrup, corn syrup and sugar.",126 g (0.5 cup)
Sliced Carrots,"Carrots, water, salt, calcium chloride (to maintain firmness).",120 g (0.5 cup)
Mixed Vegetable,"Water, carrots, potatoes, celery, sweet peas, green beans, corn, lima beans, salt, calcium chloride(to maintain firmness),onion flavoring.",125 g (0.5 cup)
Small Whole White Potatoes,"Potatoes, water, salt, calcium chloride, disodium edta (to maintain color).",155 g (155 g)
Tomato Sauce,"Tomato concentrate (water, tomato paste), salt, onion powder, garlic powder, citric acid, spices, natural flavors, dried bell pepper.",61 g (0.25 cup)
Stems & Pieces Mushrooms,"Mushrooms, water, salt, citric acid, and ascorbic acid.",130 g (0.5 cup)
Red Kidney Beans,"Ingredients: prepared red kidney beans, water, sugar, salt, calcium chloride (firming agent), disodium edta (to promote color retention).",130 g (0.5 cup)
"Juice Cocktail, Cranberry Apple","Water, high fructose corn syrup, apple juice concentrate, cranberry juice concentrate, fumaric acid, natural flavor, ascorbic acid (vitamin c).",240 ml (8 fl oz)
"Juice Cocktail, Cranberry","Water, high fructose corn syrup, cranberry juice concentrate, natural flavor, citric acid, malic acid, ascorbic acid (vitamin c).",240 ml (8 fl oz)
Microwave Popcorn,"Popcorn, partially hydrogenated soybean oil, salt, natural and artificial flavor, color (yellow 6 lake, beta carotene).",33 g (2 Tbsp)
"Microwave Popcorn, Theater Butter","Popcorn, partially hydrogenated soybean oil, salt, natural and artificial flavor, color (annatto extract)",33 g (2 Tbsp)
Shortening,"Prepared from meat fats and vegetable oils with mono and diglycerides, bha and bht added to help protect flavor",11 g (1 Tbsp)
Jelly,"Apple juice (water and apple juice concentrate), high fructose corn syrup, corn syrup, pectin, and citric acid.",20 g (1 Tbsp)
All Purpose Flour Bleached & Enriched,"Bleached enriched wheat flour (niacin, iron (reduced), thiamine mononitrate, riboflavin, folic acid), malted barley flour.",30 g (0.25 cup)
"Jelly, Grape","Corn syrup, high fructose corn syrup, grape juice (water, grape juice concentrate), fruit pectin, citric acid, sodium citrate.",20 g (1 Tbsp)
"Preserves, Strawberry","Corn syrup, strawberries, fruit pectin, citric acid and sodium citrate.",20 g (1 Tbsp)
Creamy Peanut Butter,"Peanuts, dextrose, fully hydrogenated vegetable oils (rapeseed, cottonseed and soybean) salt and corn syrup.",32 g (2 Tbsp)
Crunchy Peanut Butter,"Peanuts, dextrose, hydrogenated vegetable oil (rapeseed, cottonseed, soybean), sugar, and salt.",32 g (2 Tbsp)
Syrup,"Corn syrup, high fructose corn syrup, water, natural and artificial flavors, caramel color, potassium sorbate (as a preservative), citric acid.",60 ml (0.25 cup)
Evaporated Filled Milk,"Nonfat milk, palm oil, contains 0.5% or less of: dipotassium phosphate, carrageenan, vitamin a palmitate, vitamin d3.",30 ml (2 Tbsp)
Iodized Salt,"Salt, potassium iodide, dextrose, sodium bicarbonate and yellow prussiate of soda.",1.5 g (0.25 tsp)
Seafood Seasoning,"Salt, paprika (color and spice), black pepper, celery, mustard, mace, cinnamon, ginger, allspice, and bay.",0.9 g (0.25 tsp)
Cajun Seasoning,"Salt, paprika (color), black pepper, cayenne pepper, garlic powder, onion powder, oregano, thyme, and silicon dioxide.",0.9 g (0.25 tsp)
Garlic Salt,"Salt, garlic powder, tri-calcium phosphate",1.3 g (0.25 tsp)
Onion Salt,"Salt, onion powder, and tricalcium phosphate.",1.1 g (0.25 tsp)
"Juice Cocktail, Apple","Water, high fructose corn syrup, apple juice concentrate, malic acid, natural and artificial flavors, ascorbic acid (vitamin c), caramel color.",240 ml (8 fl oz)
Dill Sauce,"Canola oil, mustard, sugar, egg yolks, vinegar, lemon juice, dill weed, sea salt and spices.",28 g (1 ONZ)
Thai Sweet Chili Sauce,"Sugar, water, white vinegar, peppadew peppers,red bell peppers cornstarch, spirit vinegar, garlic sea salt, crushed red peppers, citric acid.",35 g (2 Tbsp)
Hot Pepper Raspberry Chipotle Sauce,"Raspberries, sugar, water, cornstarch, lemon juice (from concentrate), chipotle peppers, natural flavoring, chili peppers.",39 g (2 Tbsp)
Horseradish Sauce,"Soybean oil, water, corn syrup, distilled white vinegar, egg yolks, modified cornstarch, horseradish, salt, natural flavoring, xanthan gum.",5 g (1 tsp)
Gourmet Blackberry Chipotle Sauce,"Blackberries, brown sugar, white vinegar, water, white sugar, corn starch, cornstarch, chipotle peppers, natural flavors",38 g (2 Tbsp)
Isle Onion Dill Horseradish Dip,"Soybean oil, water, corn syrup, vinegar, egg yolks, modified cornstarch, horseradish, salt, natural flavoring and color, dillweed, onions, xanthan gum.",30 g (2 Tbsp)
Red Raspberry Preserves,"Raspberries, sugar, water, pectin, lemon juice (from concentrate), monocalcium phosphate monohydrate, citric acid.",19 g (1 Tbsp)
Pear Ginger Preserbes,"Sugar, pears, apples, ginger, water, pectin, lemon juice (from concentrate), monocalcium phosphate monohydrate (leavening agent), citric acid, ascorbic acid.",14 g (1 Tbsp)
Mixed Berry Preserves,"Sugar, blueberries, strawberries, raspberries, water, pectin lemon juice (from concentrate), monocalcium phosphate monohydrate, citric acid.",19 g (1 Tbsp)
Stone Fruit Preserves,"Sugar, cherries, peaches (peaches, ascorbic acid, citric acid), apricots, water, pectin, lemon juice (from concentrate), monocalcium phosphate monohydrate.",19 g (1 Tbsp)
Fruit Spread,"Sugar, strawberries, lime juice (contains sulfites), water, basil, pectin, monocalcium phosphate monohydrate (leavening agent), citric acid.",21 g (1 Tbsp)
Blackberry Tea & Sage Fruit Spread,"Sugar, blackberries, water, lemon juice (from concentrate), black tea, pectin, sage, monocalcium phosphate monohydrate (leavening agent), citric acid.",21 g (1 Tbsp)
Apricot Fruit Spread,"Sugar, apricots, water, pectin, citric acid, monocalcium phosphate monohydrate (leavening agent).",17 g (1 Tbsp)
Pineapple Glaze,"Water, sugar, cornstarch, pineapple juice concentrate, lemon juice concentrate, natural flavor.",35 g (2 Tbsp)
Strawberry Glaze,"Water, sugar, cornstarch, strawberry juice concentrate, lime juice concentrate, natural flavor, citric acid.",40 g (2 Tbsp)
Blueberry Glaze,"Water, sugar, blueberry juice concentrate, cornstarch, lemon juice concentrate, xanthan gum, citric acid, natural flavor.",35 g (2 Tbsp)
"Dessert Topping, Dark Chocolate Sauce","Corn syrup, sugar, cream, chocolate liquor, sweetened condensed milk, water, unsalted butter, honey, vanilla extract, sea salt, soy lecithin.",30 g (2 Tbsp)
"Organic Dip, Blueberry Lemon Ginger","Blueberries*, water, sugar*, ginger*, cornstarch*, lemon juice concentrate*.",36 g (2 Tbsp)
Organic Hot Cherry Merlot Dip,"Cherries*, sugar*, water, cornstarch*, merlot wine*, habanero peppers*.",39 g (2 Tbsp)
"Classic Shortbread Cookie Mix, Gourmet Dessert Mix","Wheat flour (wheat flour, malted barley flour), confectioner's sugar (sugar, corn starch), vanilla powder, salt.",28 g (0.08 DRY MIX | APPROX)
"Taste Nirvana, Real Coco Aloe","Natural coconut water, aloe vera.",9.5 ml (1 BOTTLE)
Real Thai Tea Latte,"Brewed thai tea (water, thai tea), natural cane sugar, full cream milk powder",9.5 ml (1 BOTTLE)
Real Thai Coffee Latte,"Brewed thai coffee (water, thai coffee), natural cane juice, full cream milk powder",9.5 ml (1 BOTTLE)
Thai Coffee,"Brewed thai coffee (water, thai coffee), natural cane sugar, full cream milk powder, soy lecithin.",9.5 ml (1 BOTTLE)
"Taste Nirvana, Young Coconut Juice","Coconut juice. coconut meat, natural cane sugar, sodium metabisulfite (e223) (as anti-oxidant).",9.5 ml (1 BOTTLE)
"Taste Nirvana, Roasted Young Coconut Juice","Coconut juice, coconut meat, natural cane sugar, sodium metabisulfite (e223) (as anti-oxidant)",9.5 ml (1 BOTTLE)
"Taste Nirvana, Real Coconut Water With Pulp","Natural coconut water, coconut pulp.",9.5 ml (1 BOTTLE)
All Natural Sweet Chilli Sauce,"Water, cane sugar, fructose, red chilli, vinegar, garlic, tapioca starch, acetic acid, salt.",25 g (0.88 oz)
"Taste Nirvana, Coco Motion, Coconut Water","Natural coconut water, natural coconut nectar, lime juice, citric acid, sea salt, natural lime flavor.",480 ml (1 CAN)
"Taste Nirvana, Coconut Water, Thai Chili","Natural coconut water, chili extract",9.5 ml (1 BOTTLE)
"Taste Nirvana, Real Coconut Water","Coconut water, matcha green tea.",9.5 ml (1 BOTTLE)
"Chukar Cherries, Dried Northwest Rainier Cherries",Dried rainier cherries with nothing added.,40 g (4 Tbsp)
"Chukar Cherries, Berry & Pistachio Mix","Dried cranberries (cranberries, sugar, sunflower oil), roasted pistachios, dried bing cherries.",40 g (4 Tbsp)
"Chukar Cherries, Dessert Sauce, Vanilla Peach","Peaches, sugar, cherries, water, modified food starch, lemon juice concentrate, natural flavors, salt, ginger.",17 g (1 Tbsp)
Peach Cherry Salsa,"Peaches, cherries, diced tomatoes, onion. jalapeno, tomato paste, garlic, salt, cilantro, sugar, lemon juice concentrate, water.",17 g (1 Tbsp)
Pie & Cobbler Filling,"Cherries, sugar, water, modified food starch, lemon juice concentrate, salt.",140 g (0.5 cup)
Plain Lowfat Yogurt,"Cultured pasteurized grade a lowfat milk, nonfat milk solids, pectin. contains active lactobacillus bulgaricus and streptococcus thermophilus cultures.",198 g (198 g)
"Lowfat Yogurt, Coffee","Cultured pasteurized grade a lowfat milk, sugar, nonfat milk solids, coffee. contains active lactobacillus bulgaricus and streptococcus thermophilus cultures.",198 g (198 g)
"The Original Candy Canes, Peppermint","Sugar, corn syrup, peppermint oil, red 40, red 40 lake.",14 g (14 g)
"12 Candy Canes, Cherry Artificially Flavored","Sugar, corn syrup, citric acid, artificial flavor, yellow 5, blue 1, red 40, yellow 6, red 40 lake.",14 g (14 g)
Cinnamon Jelly Hearts,"Corn syrup, sugar, modified food starch (corn), cornstarch, artificial flavor, red 40.",37 g (5 PIECES)
"Holiday Spicettes Jelly Drops Candy, Cinnamon And Wintergreen","Corn syrup, sugar, modified food starch (corn), cornstarch, artificial flavor, red 40, yellow 5, blue 1.",39 g (39 g)
12 Candy Canes,"Corn syrup, sugar, citric acid, artificial flavor, blue 1.",14 g (14 g)
"Assortment Of Mixed Hard Candies, Holiday Mix","Sugar, corn syrup, citric acid, titanium dioxide [color], red 40, yellow 5, blue 1, red 3, natural and artificial flavors.",16 g (16 g)
Jube Jel Cherry Hearts,"Corn syrup, sugar, modified corn starch, artificial flavors, sodium citrate, mineral oil*, red 40, beeswax*.",40 g (5 PIECES)
"Star Brites, Peppermint Candy","Corn syrup, sugar, peppermint oil, titanium dioxide {color], red 40, red 3, yellow 6, blue 1.",15 g (15 g)
Candy Canes,"Corn syrup, sugar, artificial flavor, red 40, red 40 lake, yellow 6.",14 g (14 g)
Milk Chocolate,"Milk chocolate (sugar, whole milk powder, cocoa butter, chocolate liquor, lactose, soy lecithin [an emulsifier], butter oil, salt, vanilla extract.",38 g (38 g)
Conversation Hearts Candy,"Sugar, corn syrup, cornstarch, glycerin, gelatin, artificial flavor, blue 1, yellow 5, yellow 6, red 3, red 40.",15 g (12 PIECES)
